発生年月日,発生時間,曜日,時間帯,天気,発生場所,路線,道路形状,事故類型,当事者　甲,性別　甲,当事者　乙,性別　乙,BCODE,SCODE,HCODE,EDIT_DAT,x,y
平成26年3月20日,午後８時２７分ごろ,木,夜,雨,前橋市粕川町地内,主要地方道前橋大間々桐生線,単路,車両単独,普通乗用車,男,ガードパイプ,,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/03/,139.1959441,36.40915954
平成26年3月23日,午前３時４０分ごろ,日,夜,晴,伊勢崎市曲輪町地内,主要地方道前橋館林線,単路,車両相互,普通乗用車,男,中型貨物車,男,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/03/,139.1894547,36.32071296
平成26年4月20日,午前３時２４分ころ,日,夜,雨,安中市中宿,国道１８号,単路,車両単独,軽乗用,男,ガードレール,,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/05/,138.9156195,36.33235789
平成26年4月27日,午前２時４８分ころ,日,夜,晴,高崎市末広町,県道飯玉本町線,交差点,車×歩行者,軽乗用,男,歩行者,男(高齢者),交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/05/,139.0069194,36.33249636
平成26年4月29日,午後７時１５分ころ,火,夜,曇,前橋市荒口町,市道,交差点,車×歩行者,軽乗用,女,歩行者,男(高齢者),交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/05/,139.1532804,36.37771546
平成26年5月25日,午後４時２５分ころ,日,昼,晴,みどり市大間々町大間々,市道,単路,車×歩行者,普通乗用車,男,歩行者,女(高齢者),交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/05/,139.2771052,36.43032854
平成26年6月15日,午前１０時５０分ころ,日,昼,晴,多野郡神流町魚尾,町道,交差点付近,車両単独,軽貨物車,男（高齢者）,甲の同乗者,女（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/06/,138.8483046,36.09123152
平成26年6月16日,午前１０時９分ころ,月,昼,晴,高崎市飯塚町,市道,交差点,車両×歩行者,軽貨物車,男（高齢者）,歩行者,男（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/06/,139.0081368,36.33893374
平成26年6月21日,午前５時５４分,土,昼,晴,高崎市吉井町岩崎,主要地方道高崎神流秩父線,単路,車両単独,軽乗用,男,中央分離帯等,,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/06/,138.9989432,36.28392891
平成26年6月29日,午前４時３８分ころ,日曜日,昼,雨,太田市只上町,国道５０号,単路,車両単独,普通乗用車,男,街路灯等,,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/07/,139.3932418,36.3333939
平成26年7月16日,午前１時１５分ころ,水曜日,夜,晴,前橋市箱田町,市道南部環状線,単路,車両×歩行者,軽乗用車,男,歩行者,男（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/07/,139.0486824,36.37263361
平成26年7月26日,午前３時２８分ころ,土曜日,夜,晴,邑楽郡邑楽町大字狸塚,国道３５４号,十字路交差点,車両×歩行者,普通乗用,男,歩行者,女（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/07/,139.4764102,36.24152947
平成26年7月20日,午前６時２２分ころ,日曜日,昼,曇,邑楽郡邑楽町大字篠塚,町道<br>,単路<br>,車両単独,原付車,男,なし,,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/08/,139.4459381,36.23645974
平成26年7月28日,午後２時５５分ころ,月曜日,昼,晴,吾妻郡長野原町大字大津,国道２９２号,単路,車両×ガードレール,普通乗用車,男,ガードレール,,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/08/,138.6143075,36.55514673
平成26年7月29日,午後４時３６分ころ,火曜日,昼,晴,太田市新島町,県道太田大泉線,交差点,車両×車両,普通乗用車,男,軽二輪車,男,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/08/,139.3885466,36.29096883
平成26年8月2日,午前１１時３５分,土曜日,昼,晴,渋川市北牧,国道３５３号,単路,車両×車両,軽乗用車,女（高齢者）,大型貨物車,男,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/08/,138.9985221,36.52227655
平成26年8月9日,午前３時３０分ころ,土曜日,夜,曇,高崎市吉井町下長根,国道２５４号,単路,車両×歩行者,不明,,歩行者,男,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/08/,138.9806486,36.25171068
平成26年7月17日,午後６時２０分,木曜日,昼,雨,藤岡市岡之郷地内,関越道新潟線・下り,単路,車両×歩行者,中型貨物車,男,歩行者,男,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/08/,139.0953106,36.27555307
平成26年8月24日,午前９時２８分ころ,日曜日,昼,晴<br>,伊勢崎市韮塚町,主要地方道高崎伊勢崎線,交差点,車両×自転車,普通乗用車,男（高齢者）,自転車,男（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/08/,139.1758156,36.30403861
平成26年9月6日,午後２時１３分ころ,土曜日,昼,晴,みどり市笠懸町西鹿田地内,県道境木島大間々線,交差点付近,車両×車両,大型自動二輪車,男,軽四乗用車,女,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/09/,139.2641888,36.41261536
平成26年9月9日,午前1時0分ころ,火曜日,夜,曇り,前橋市天川大島町地内,国道50号,単路,車両×自転車,大型貨物車,男,自転車,男（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/09/,139.0953586,36.38251808
平成26年9月14日,午後2時10分ころ,日曜日,昼,晴れ,利根郡昭和村大字森下地内,関越道新潟線・上り,単路,車両単独,大型自動二輪車,男,中央分離帯,,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/09/,139.0630754,36.60720005
平成26年9月18日,午後６時４０分ころ,木曜日,夜,晴,前橋市嶺町地内,市道,単路,車両単独,普通乗用車,男,電柱,,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/09/,139.1172738,36.44805109
平成26年9月26日,午前11時17分ころ,月曜日,昼,晴,高崎市足門町地内,県道水沢足門線,丁字路交差点,車両×自転車,普通貨物車,男,自転車,女(高齢者),交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/09/,138.9897876,36.40054182
平成26年10月3日,午前１１時１６分ころ,金曜日,昼,晴,太田市東矢島町地内,国道３５４号,十字路交差点,車両×自転車,中型貨物車,男,自転車,男（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/10/,139.3822019,36.26908443
平成26年10月11日,午前５時７分ころ,土曜日,昼,晴,前橋市公田町地内,主要地方道高崎駒形線,交差点,車両×歩行者,大型貨物車,男,歩行者,男(高齢者),交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/10/,139.0776655,36.34154589
平成26年10月12日,午後６時５８分ころ,曇,夜,曇,伊勢崎市山王町地内,主要地方道伊勢崎本庄線,交差点,車両×車両,普通貨物車,女,大型二輪車,女,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/10/,139.1883701,36.30204126
平成26年10月22日,午後６時２３分ころ,水曜日,夜,雨,吾妻郡中之条町大字伊勢町地内,国道１４５号,交差点,車両×歩行者,普通乗用車,女,歩行者,男(高齢者),交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/10/,138.8579124,36.58722233
平成26年10月25日,午後６時２８分ころ,土曜日,夜,晴,吾妻郡中之条町大字折田地内,国道３５３号,単路,車両×自転車,軽貨物車,男,自転車,女（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/10/,138.8199819,36.5910842
平成26年11月2日,午後７時１２分ころ,日曜日,夜,曇,太田市安養寺町地内,国道３５４号,交差点,車両×車両,軽四乗用車,男（高齢者）,中型貨物車,男,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/11/,139.298282,36.2612681
平成26年11月5日,午前5時40分ころ,水曜日,昼,曇,北群馬郡吉岡町大字漆原地内,市道,単路,車両単独,普通乗用車,男,擁壁,,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/11/,139.0306477,36.43686195
平成26年11月6日,午後8時35分頃,木曜日,夜,曇,前橋市川曲町地内,市道,交差点,車両×歩行者,普通乗用車,男,歩行者,男,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/11/,139.0487977,36.35530436
平成26年11月7日,午前10時15分頃,金曜日,昼,晴,渋川市横堀地内,国道353号,単路,車両×車両,普通乗用車,男（高齢者）,普通乗用車,男（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/11/,138.9793751,36.53291622
平成26年11月9日,午前1時9分ころ,日曜日,夜,晴,太田市藤阿久町地内,市道,交差点,車両単独,軽四乗用車,女,カーブミラー,,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/11/,139.3535741,36.28854193
平成26年11月22日,午前５時３３分ころ,土曜日,昼,晴,太田市新田上田中町地内,主要地方道前橋館林線,単路,車両×自転車,普通乗用車,男,自転車,男（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/11/,139.2691761,36.31113942
平成26年11月22日,午前１０時２４分ころ,土曜日,昼,晴,太田市由良町地内,市道,交差点,原付車×車両,原付車,男（高齢者）,軽四乗用車,男,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/11/,139.34717,36.29261783
平成26年11月22日,午前１１時３０分ころ,土曜日,昼,晴,桐生市広沢町五丁目地内,国道５０号,単路,車両単独,原付車,男（高齢者）,縁石等,,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/11/,139.3449401,36.37825478
平成26年11月25日,午後４時５０分ころ,火曜日,昼,雨,藤岡市上大塚地内,市道,単路,車両×歩行者,軽貨物車,男（高齢者）,歩行者,男（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/11/,139.0446459,36.24526327
平成26年11月29日,午後６時２７分ころ,土曜日,夜,曇,伊勢崎市東小保方町地内,県道境木島大間々線,単路,車両×歩行者,軽乗用車,男<br>,歩行者,男（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/12/,139.2481743,36.32348159
平成26年12月1日,午前６時５０分ころ,月曜日,昼,雨,太田市古戸町地内,国道４０７号,単路,車両×車両,普通乗用車,男,大型貨物車,男,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/12/,139.3806094,36.24486763
平成26年12月5日,午後４時５分ころ,金曜日,昼,晴,みどり市大間々町桐原地内,主要地方道伊勢崎大間々線,単路,車両×歩行者,軽乗用車,男,歩行者,女（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/12/,139.267108,36.42646546
平成26年12月8日,午後５時２５分ころ,月曜日,昼,晴,渋川市川島地内,主要地方道渋川東吾妻線,単路,車両×歩行者,軽貨物車,男,歩行者,女(高齢者),交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/12/,138.9783273,36.5267413
平成26年12月10日,午前６時０分ころ,水曜日,昼,晴,桐生市境野町地内,主要地方道桐生岩舟線,交差点,車両×歩行者,普通乗用車,男,歩行者,女(高齢者),交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/12/,139.3554732,36.38486754
平成26年12月19日,午前７時２４分ころ,金曜日,昼,晴,伊勢崎市羽黒町地内,市道,交差点付近,車両単独,軽乗用車,男,電柱,,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/12/,139.2152665,36.28814576
平成26年12月22日,午後５時３０分ころ,月曜日,夜,晴,北群馬郡吉岡町大字上野田地内,主要地方道前橋伊香保線,交差点,車両×歩行者,普通乗用車,女,歩行者,男（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/12/,138.9810825,36.45854036
平成26年12月31日,午後７時５６分ころ,水曜日,夜,晴,渋川市赤城町棚下地内,関越道新潟線・下り,単路,車両単独,軽乗用車,男,クッションドラム,,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2015/01/,139.0619863,36.58000725
平成26年12月29日,午後５時１８分ころ,月曜日,昼,晴,高崎市棟高町地内,市道,交差点付近,車両×歩行者,普通乗用車,女,歩行者,女（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2015/01/,139.003547,36.3895763
平成27年1月4日,午後０時３０分ころ,日曜日,昼,晴,伊勢崎市連取町地内,市道,単路,車両×歩行者,普通乗用車,男,歩行者,女（高齢者）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/01/,139.1726706,36.32576756
平成27年1月9日,午前９時１３分ころ,金曜日,昼,晴,前橋市宮地町地内,主要地方道前橋玉村線,交差点,車両×自転車,普通乗用車,男,自転車,女,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/01/,139.1011861,36.33900891
平成27年1月27日,午前０時５１分ころ,火曜日,夜,雨,佐波郡玉村町八幡原地内,関越道新潟線・上り,単路,車両×歩行者,中型貨物車,男,歩行者,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/01/,139.0977469,36.29354825
平成27年2月8日,午前0時26分ころ,日曜日,夜,晴,高崎市芝塚町地内,主要地方道高崎駒形線,交差点,車両単独,軽貨物車,男,ガードレール,,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/02/,139.013229,36.33336672
平成27年2月9日,午後５時５３分ころ,月曜日,夜,晴,前橋市高井町地内,県道南新井前橋線,交差点,車両×歩行者,普通乗用車,男,歩行者,女（高齢者）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/02/,139.0249241,36.41508453
平成27年2月12日,午後３時２０分ころ,木曜日,昼,曇,前橋市元総社町地内,主要地方道前橋安中富岡線,交差点,車両×歩行者,普通貨物車,男,歩行者,女（高齢者）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/02/,139.0373911,36.38521524
平成27年2月14日,午前３時５７分ころ,土曜日,夜,晴,館林市西本町地内,主要地方道前橋館林線,交差点,車両×歩行者,普通乗用車,男,歩行者,女（高齢者）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/02/,139.5319539,36.25094611
平成27年2月18日,午後８時３５分ころ,水曜日,夜,霧,富岡市富岡地内,国道２５４号,交差点,車両×歩行者,軽四乗用車,女,歩行者,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/02/,138.8971358,36.26318685
平成27年2月23日,午後４時５０分ころ,月曜日,昼,曇,富岡市野上地内,県道下仁田小幡線,単路,車両単独,普通乗用車,男（高齢者）,ガードレール等,,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/02/,138.8364535,36.21254444
平成27年2月23日,午後６時４２分ころ,月曜日,夜,曇,高崎市飯塚町地内,主要地方道高崎渋川線,単路,車両×歩行者,軽乗用車,男,歩行者,男（高齢者）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/02/,139.0001744,36.34192548
平成27年3月7日,午後５時５０分ころ,土曜日,夜,雨,吾妻郡東吾妻町大字原町地内,町道,交差点,車両×歩行者,軽貨物車,女,歩行者,女,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/03/,138.8250429,36.57116929
平成27年3月23日,午後１０時４７分ころ,月曜日,夜,晴,高崎市下佐野町地内,市道,単路,車両×歩行者,軽乗用車,男,歩行者,男(高齢者),交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/03/,139.0232644,36.30115042
平成27年4月9日,午後4時59分ころ,木曜日,昼,曇,沼田市高橋場町地内,市道,交差点,車両×自転車,普通貨物車,男,自転車,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/04/,139.0613064,36.65416804
平成27年4月19日,午前6時9分ころ,日曜日,昼,晴,沼田市屋形原町地内,国道17号,単路,車両単独,大型自動二輪車,男,ガードレール,,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/04/,139.0355786,36.62382915
平成27年4月22日,午後9時23分ころ,水曜日,夜,晴,高崎市島野町地内,市道,交差点付近,車両×歩行者,普通乗用車,男,歩行者,男（高齢者）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/04/,139.0516932,36.34579044
平成27年4月23日,午前0時42分ころ,木曜日,夜,晴,邑楽郡板倉町大字海老瀬地内,主要地方道佐野古河線,交差点,車両×車両,普通乗用車,男,軽乗用車,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/04/,139.651098,36.23891742
平成27年5月2日,午後７時４分ころ,土曜日,夜,晴,沼田市下沼田町地内,市道,交差点,車両×歩行者,普通貨物車,男（高齢者）,歩行者,女（高齢者）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/05/,139.0372533,36.65777387
平成27年5月9日,午後２時５４分ころ,土曜日,昼,曇,沼田市岩本町地内,国道１７号,交差点付近,車両単独,普通乗用車,男,ガードレール,,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/05/,139.0495648,36.59699302
平成27年5月11日,午前０時５０分ころ,月曜日,夜,晴,館林市野辺町地内,主要地方道足利邑楽行田線,単路,車両単独,普通乗用車,男,縁石等,,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/05/,139.4619856,36.21472529
平成27年5月14日,午前6時19分ころ,木曜日,昼,晴,館林市当郷町地内,市道,単路,車両×自転車,軽四乗用車,男,自転車,女（高齢者）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/05/,139.5534793,36.24690582
平成27年6月7日,午後2時25分ころ,日曜日,昼,晴,沼田市桜町地内,関越道新潟線・上り,単路,車両単独,大型自動二輪車,男,ガードロープ,,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/06/,139.0709998,36.6556089
平成27年6月8日,午後10時50分ころ,月曜日,夜,雨,高崎市上並榎町地内,主要地方道あら町下室田線,交差点,車両×歩行者,軽乗用車,男,歩行者,男（高齢者）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/06/,138.988012,36.34277116
平成27年6月12日,午前11時30分ころ,金曜日,昼,曇,甘楽郡下仁田町大字青倉地内,県道小平下仁田線,右カーブ,車両単独,普通乗用車,男（高齢者）,ガードレール,,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/06/,138.776169,36.17209153
平成27年6月20日,午後0時25分ころ,土曜日,昼,晴,伊勢崎市除ヶ町地内,国道462号,単路,車両単独,普通乗用車,男,信号柱,,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/06/,139.1970948,36.28556913
平成27年6月25日,午後５時３０分ころ,木曜日,昼,曇,渋川市北橘町八崎地内,市道,単路,車両単独,軽乗用車,女（高齢者）,擁壁,,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/06/,139.019184,36.49258052
平成27年6月26日,午前6時6分ころ,金曜日,昼,曇,太田市台之郷町地内,県道佐野太田線,交差点,車両×歩行者,大型貨物車,女,歩行者,男（高齢者）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/06/,139.4135741,36.30213256
平成27年6月28日,午前6時24分ころ,日曜日,昼,晴,桐生市黒保根町下田沢地内,国道122号,単路,二輪車相互,大型自動二輪車,男,大型自動二輪車,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/06/,139.2749898,36.49330729
平成27年6月29日,午後4時49分ころ,月曜日,昼,曇,館林市富士原町地内,市道,交差点,車両×自転車,普通乗用車,男,自転車,男（高齢者）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/07/,139.5116595,36.24220535
平成27年6月30日,午前0時22分ころ,火曜日,夜,晴,甘楽郡甘楽町大字福島地内,町道,単路,車両×歩行者,普通乗用車,女,歩行者,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/07/,138.9206296,36.25320491
平成27年7月4日,午後8時21分ころ,土曜日,夜,雨,高崎市新町地内,国道17号,交差点,車両×歩行者,普通乗用車,男,歩行者,男（高齢者）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/07/,139.11132,36.27130461
平成27年7月11日,午後9時35分ころ,,夜,曇,邑楽郡千代田町大字瀬戸井地内,主要地方道足利千代田線,単路,車両×自転車,大型貨物車,男,自転車,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/07/,139.4553646,36.19844885
平成27年7月13日,午前9時7分ころ,月曜日,昼,晴,多野郡上野村楢原地内,国道299号,カーブ,二輪車×二輪車,大型自動二輪車,男,大型自動二輪車,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/07/,138.6552578,36.09999144
平成27年7月14日,午後6時50分ころ,火曜日,昼,晴,藤岡市岡之郷地内,主要地方道藤岡大胡線,交差点,車両×歩行者,普通貨物車,男,歩行者,女,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/07/,139.0985536,36.26523416
平成27年7月15日,午後0時49分ころ,水曜日,昼,晴,太田市新田小金井町地内,主要地方道足利伊勢崎線,単路,車両×車両,軽四乗用車,男（高齢者）,大型貨物車,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/07/,139.3246967,36.32652702
平成27年7月16日,午後7時31分ころ,木曜日,夜,雨,藤岡市藤岡地内,主要地方道藤岡大胡線,単路<br>,車両×歩行者,普通乗用車,男,歩行者,男（高齢者）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/07/,139.0760893,36.23913268
平成27年7月19日,午後8時29分ころ,日曜日,夜,晴,邑楽郡大泉町大字寄木戸地内,町道,単路,車両単独,普通乗用車,女,木,,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/07/,139.3892356,36.2507316
平成27年7月24日,午前0時13分ころ,金曜日,夜,雨,館林市細内町地内,主要地方道館林藤岡線,交差点,車両×車両,軽乗用車,男,中型貨物車,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/07/,139.5570816,36.25675173
平成27年7月25日,午前10時40分ころ,土曜日,昼,晴,吾妻郡東吾妻町大字松谷地内,国道145号,交差点付近,車両×車両,普通貨物車,男（高齢者）,普通乗用車,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/07/,138.7452342,36.56979418
平成27年8月4日,午前1時50分ころ,火曜日,夜,晴,安中市松井田町横川地内,関越道上越線・下り,単路,車両×車両,大型貨物車,男,中型貨物車,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/08/,138.7493735,36.33499192
平成27年8月7日,午前10時22分ころ,金曜日,昼,晴,渋川市赤城町宮田,県道宮田吹屋線,交差点,車両×車両,軽四貨物車,男,原付車,女（高齢者）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/08/,139.0300851,36.52475939
